model_tag,template,tense,syntactic_role,semantic_role,valence,dominance,verb,profession,frequency,lex_emb_norm,prefix,he_prob,she_prob,he_she_odds_ratio,log_he_she_odds,log_frequency,profession_embedding_1,profession_embedding_2,profession_embedding_3,profession_embedding_4,profession_embedding_5,profession_embedding_6,profession_embedding_7,profession_embedding_8,profession_embedding_9,profession_embedding_10
EleutherAI/pythia-2.8b-deduped,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,acknowledge,colonel,4215,1.0593886494829263,"A colonel acknowledged a parent. As for the colonel,",0.4283545315265655,0.0398759059607982,10.742188453674316,2.374178886413574,0.48289800751821654,2691.5330971485364,-680.4785988050702,-33.22810037198635,47.675090733850254,-45.61124412544648,-9.9943538414402,-7.950272222613085,-11.950607862509237,-19.565798863196136,-35.60889143837382
EleutherAI/pythia-2.8b-deduped,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,intrigue,colonel,4215,1.0593886494829263,"A colonel intrigued a parent. As for the colonel,",0.4291395843029022,0.03554268181324,12.073922157287598,2.4910478591918945,0.48289800751821654,2691.5330971485364,-680.4785988050702,-33.22810037198635,47.675090733850254,-45.61124412544648,-9.9943538414402,-7.950272222613085,-11.950607862509237,-19.565798863196136,-35.60889143837382
EleutherAI/pythia-2.8b-deduped,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,direct,colonel,4215,1.0593886494829263,"A colonel directed a parent. As for the colonel,",0.4531961381435394,0.0391574129462242,11.573699951171877,2.448735237121582,0.48289800751821654,2691.5330971485364,-680.4785988050702,-33.22810037198635,47.675090733850254,-45.61124412544648,-9.9943538414402,-7.950272222613085,-11.950607862509237,-19.565798863196136,-35.60889143837382
EleutherAI/pythia-2.8b-deduped,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,compliment,colonel,4215,1.0593886494829263,"A colonel complimented a parent. As for the colonel,",0.5360000133514404,0.0279673784971237,19.165185928344727,2.9530954360961914,0.48289800751821654,2691.5330971485364,-680.4785988050702,-33.22810037198635,47.675090733850254,-45.61124412544648,-9.9943538414402,-7.950272222613085,-11.950607862509237,-19.565798863196136,-35.60889143837382
EleutherAI/pythia-2.8b-deduped,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,commend,colonel,4215,1.0593886494829263,"A colonel commended a parent. As for the colonel,",0.528734564781189,0.0356396697461605,14.835562705993652,2.6970272064208984,0.48289800751821654,2691.5330971485364,-680.4785988050702,-33.22810037198635,47.675090733850254,-45.61124412544648,-9.9943538414402,-7.950272222613085,-11.950607862509237,-19.565798863196136,-35.60889143837382
EleutherAI/pythia-2.8b-deduped,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,alarm,colonel,4215,1.0593886494829263,"A colonel alarmed a parent. As for the colonel,",0.4532361030578613,0.0311055313795804,14.570916175842283,2.679027557373047,0.48289800751821654,2691.5330971485364,-680.4785988050702,-33.22810037198635,47.675090733850254,-45.61124412544648,-9.9943538414402,-7.950272222613085,-11.950607862509237,-19.565798863196136,-35.60889143837382
EleutherAI/pythia-2.8b-deduped,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,intimidate,colonel,4215,1.0593886494829263,"A colonel intimidated a parent. As for the colonel,",0.4972738921642303,0.0215611178427934,23.06345558166504,3.138249397277832,0.48289800751821654,2691.5330971485364,-680.4785988050702,-33.22810037198635,47.675090733850254,-45.61124412544648,-9.9943538414402,-7.950272222613085,-11.950607862509237,-19.565798863196136,-35.60889143837382
EleutherAI/pythia-2.8b-deduped,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,rush,colonel,4215,1.0593886494829263,"A colonel rushed a parent. As for the colonel,",0.4822512865066528,0.0378662571310997,12.735647201538086,2.544404983520508,0.48289800751821654,2691.5330971485364,-680.4785988050702,-33.22810037198635,47.675090733850254,-45.61124412544648,-9.9943538414402,-7.950272222613085,-11.950607862509237,-19.565798863196136,-35.60889143837382
EleutherAI/pythia-2.8b-deduped,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,command,colonel,4215,1.0593886494829263,"A colonel commanded a parent. As for the colonel,",0.4629175066947937,0.041753064841032,11.087030410766602,2.405776023864746,0.48289800751821654,2691.5330971485364,-680.4785988050702,-33.22810037198635,47.675090733850254,-45.61124412544648,-9.9943538414402,-7.950272222613085,-11.950607862509237,-19.565798863196136,-35.60889143837382
EleutherAI/pythia-2.8b-deduped,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,dislike,colonel,4215,1.0593886494829263,"A colonel disliked a parent. As for the colonel,",0.5559451580047607,0.0194249991327524,28.620086669921875,3.3541088104248047,0.48289800751821654,2691.5330971485364,-680.4785988050702,-33.22810037198635,47.675090733850254,-45.61124412544648,-9.9943538414402,-7.950272222613085,-11.950607862509237,-19.565798863196136,-35.60889143837382
